Company_Name,Ratings,Reviews_Count,Salary_Count,Interview_Count,Jobs_Count,Company_Sector,Benefits_Count,Other_Locations_Count,Primary_City
Marpu Foundation,4.9,3100,60,265,0,Non-Profit,8,61,Hyderabad
Royal Migration Solutions,4.9,1200,5,1,0,Other,1,12,Dubai
Tekwissen,4.9,1900,566,341,36,IT Services & Consulting,3,5,Visakhapatnam
Indian Army,4.7,6200,9500,202,0,Defence & Aerospace,728,364,New Delhi
Incheon Motors,4.7,1000,325,273,5,Automobile,7,15,Thrissur
Kogta Financial India Limited,4.7,4100,1800,245,112,NBFC,31,259,Jaipur
iEnergizer,4.6,27100,24100,1100,61,BPO,430,51,Noida
Wonder Home Finance,4.6,1100,717,186,1,NBFC,9,117,Jaipur
Nippon Life India Asset Management,4.6,1000,1500,158,95,Financial Services,21,188,Mumbai
Jet Airways,4.6,1100,1900,24,0,Aviation,180,45,Mumbai
Indian Navy,4.6,1700,3400,35,0,Defence & Aerospace,244,75,Mumbai
Baazar Retail Private Limited,4.5,1100,1500,82,0,Retail,16,107,Kolkata
Muthoot FinCorp,4.5,12300,9000,2200,49,NBFC,275,1098,Bangalore
Labmentix,4.5,1300,29,470,0,Other,8,32,Bangalore
GAO Tek,4.5,2100,257,505,0,Electrical Equipment,26,40,New York
Indian Air Force,4.5,3200,5300,81,0,Defence & Aerospace,354,134,New Delhi
Bluestock ™,4.5,1300,52,385,0,FinTech,1,43,Pune
VMware Software,4.4,1100,9100,145,14,Software Product,129,18,Bangalore
Future Retail,4.4,1700,3800,57,0,Retail,249,197,Mumbai
Sahrudaya Healthcare (Medicover Hospitals),4.4,2500,3400,144,25,Healthcare,36,45,Hyderabad
Life Insurance Corporation of India,4.4,2100,4500,96,1,Insurance,242,470,New Delhi
Equitas Small Finance Bank,4.4,8700,13200,999,22,Banking,397,480,Chennai
GAIL,4.4,1100,3200,80,0,Oil & Gas,88,101,New Delhi
Google,4.4,1900,31100,1000,570,Software Product,132,85,Bangalore
Bajaj Capital Insurance Broking Limited,4.4,1000,1200,226,0,Insurance,41,139,New Delhi
Veritas Finance,4.4,1500,2100,88,0,NBFC,36,298,Chennai
Jio,4.4,32400,62100,3900,3,Telecom,2500,1903,Mumbai
Kalyan Jewellers,4.4,1700,1500,78,13,Jewellery,57,156,Thrissur
mPokket,4.4,1200,1400,239,7,NBFC,12,20,Kolkata
Senco Gold,4.4,2000,1500,633,4,Jewellery,35,77,Kolkata
Altruist Technologies,4.4,3700,8200,689,9,BPO,83,44,Bangalore
Indostar Capital Finance Limited,4.4,1100,2000,187,0,NBFC,30,322,Mumbai
Klm Axiva Finvest,4.4,1000,752,436,7,NBFC,6,158,Bangalore
Cloudnine Hospital,4.4,3500,2900,1100,4,Healthcare,78,46,Bangalore
Motilal Oswal Home Finance,4.3,1100,1300,125,0,NBFC,22,127,Mumbai
Toyota Kirloskar Motor,4.3,1600,4400,78,0,Automobile,164,90,Bangalore
Oil And Natural Gas Corporation,4.3,1200,3000,80,0,Oil & Gas,137,84,Mumbai
V-Guard Industries,4.3,1900,4500,116,25,Consumer Electronics & Appliances,274,169,Kochi
Synchrony,4.3,1200,5400,89,7,Financial Services,197,9,Hyderabad
Hindustan Construction Company,4.3,1300,3200,91,5,Engineering & Construction,158,93,Mumbai
Indian Oil Corporation,4.3,3500,7700,234,0,Oil & Gas,291,310,New Delhi
Cummins,4.3,3900,15500,281,9,Industrial Machinery,458,115,Pune
Apollo Health and Lifestyle Limited,4.3,1100,3300,118,31,Healthcare,68,93,Hyderabad
BVG India,4.3,1700,3900,166,92,Facility Management Services,99,131,Pune
Big Bazaar,4.3,1300,2300,46,0,Retail,191,159,New Delhi
PHN Technology,4.3,1200,354,37,4,EdTech,2,32,Pune
Hindustan Aeronautics,4.3,1800,4300,85,0,Defence & Aerospace,173,64,Bangalore
Laurus Labs,4.3,2400,7100,153,7,Pharma,204,33,Visakhapatnam
Power Grid Corporation of India,4.3,1000,2000,73,0,Power,76,233,Gurgaon
