Company_names,Ratings,Reviews_count,Salary_count,Interview_count,Jobs_count,Company_sector,Benefits_count,Other_Locations_Count,Primary_City
TCS,3.3,110000,980000,11800,2200,IT Services & Consulting,10600,438,Bangalore
Accenture,3.7,71400,650000,9200,40800,IT Services & Consulting,6700,255,Bangalore
Wipro,3.6,63500,480000,6700,5800,IT Services & Consulting,4600,370,Hyderabad
Cognizant,3.6,59900,600000,6300,749,IT Services & Consulting,5500,230,Hyderabad
Capgemini,3.7,51500,480000,5400,1900,IT Services & Consulting,3700,183,Bangalore
HDFC Bank,3.8,50700,150000,2900,309,Banking,3200,1827,Mumbai
Infosys,3.5,47300,520000,8300,2400,IT Services & Consulting,4800,247,Bangalore
ICICI Bank,4.0,45100,150000,2900,22,Banking,3700,1438,Mumbai
HCLTech,3.4,44500,380000,4500,251,IT Services & Consulting,3800,229,Chennai
Tech Mahindra,3.4,42400,280000,4500,531,IT Services & Consulting,3400,332,Hyderabad
Genpact,3.6,40900,229999,3800,1500,IT Services & Consulting,3500,181,Hyderabad
Teleperformance,3.8,36700,96300,2200,1300,BPO,1800,255,Mumbai
Jio,4.4,32500,62100,4000,3,Telecom,2500,1918,Mumbai
Axis Bank,3.6,32400,100000,1900,202,Banking,2100,1505,Mumbai
Concentrix Corporation,3.6,31400,130000,2000,79,BPO,3100,176,Bangalore
Amazon,3.9,30700,150000,5800,1800,Internet,4100,520,Bangalore
iEnergizer,4.6,27100,24100,1100,59,BPO,430,51,Noida
Reliance Retail,3.9,27000,76700,1900,147,Retail,1800,1156,Mumbai
LTIMindtree,3.6,25800,190000,3400,527,IT Services & Consulting,777,145,Bangalore
IBM,3.9,25300,210000,2600,1200,IT Services & Consulting,2600,160,Bangalore
HDB Financial Services,3.9,25100,49800,1100,213,NBFC,1500,1090,Mumbai
Larsen & Toubro Limited,3.9,23300,74700,1800,199,Engineering & Construction,2500,759,Chennai
Deloitte,3.7,22400,250000,3300,1600,Management Consulting,2400,187,Hyderabad
Kotak Mahindra Bank,3.6,21900,87400,1400,117,Banking,1300,684,Mumbai
Reliance Industries,4.0,19800,73100,1600,61,Oil & Gas,1800,814,Jamnagar
Vodafone Idea,3.9,17400,50100,673,55,Telecom,2000,702,Pune
Bharti Airtel,3.8,16800,48800,1100,147,Telecom,1600,790,Gurgaon
BYJU'S,3.2,16400,54600,2100,0,EdTech,1700,322,Bangalore
WNS,3.3,14800,69000,1200,113,IT Services & Consulting,1300,65,Pune
IDFC FIRST Bank,3.9,14000,49200,917,30,Banking,692,715,Mumbai
Tata Motors,4.1,14000,42800,1200,183,Automobile,1600,506,Pune
Ernst & Young,3.4,14000,140000,1300,2200,Management Consulting,1200,132,Bangalore
IndusInd Bank,3.4,13900,52100,756,122,Banking,793,791,Mumbai
AU Small Finance Bank,3.9,13800,28800,674,60,Banking,577,785,Jaipur
Bajaj Finserv,3.9,12700,30400,714,10,NBFC,706,1168,Pune
Flipkart,3.9,12600,54600,1600,173,Internet,1400,558,Bangalore
Muthoot FinCorp,4.5,12300,9000,2200,53,NBFC,275,1098,Bangalore
PwC,3.3,12100,120000,1500,984,Management Consulting,800,132,Bangalore
Mahindra & Mahindra,4.0,11800,39700,844,1,Automobile,1200,562,Pune
Infosys BPM,3.5,11700,73200,1100,73,BPO,1100,96,Bangalore
DXC Technology,3.6,11700,72900,888,190,IT Services & Consulting,1100,132,Bangalore
HDFC Life,3.9,11700,32900,776,131,Insurance,614,701,Mumbai
Bandhan Bank,3.7,10700,24700,733,19,Banking,517,996,Kolkata
Mphasis,3.3,10000,73400,917,63,IT Services & Consulting,846,63,Bangalore
Conneqt Business Solutions,3.5,10000,26300,548,344,BPO,772,266,Hyderabad
Yes Bank,3.6,9900,43300,545,139,Banking,608,540,Mumbai
Tata Steel,4.0,9700,34000,1100,0,Iron & Steel,659,229,Jamshedpur
Quess,3.8,9500,30900,531,27,Recruitment,440,742,Bangalore
Maruti Suzuki,4.2,9400,28300,770,724,Automobile,1100,450,Gurgaon
Asian Paints,4.0,9300,25400,838,59,Chemicals,884,550,Mumbai
Startek,3.1,9300,24500,623,152,BPO,681,105,Bangalore
UltraTech Cement,4.1,9200,23800,784,29,Building Material,619,536,Mumbai
Paytm,3.2,9200,34000,882,341,FinTech,582,417,Noida
Shriram Finance,4.0,8900,15000,440,5,NBFC,21,1108,Chennai
Bajaj Finance,3.9,8900,22400,427,7100,NBFC,502,972,Pune
Sutherland Global Services,3.4,8800,34500,777,244,BPO,901,82,Chennai
Equitas Small Finance Bank,4.4,8700,13400,1000,23,Banking,397,480,Chennai
EXL Service,3.6,8400,44200,893,1500,Analytics & KPO,799,61,Noida
Cipla,4.1,8400,26200,583,60,Pharma,850,292,Mumbai
Ericsson,3.9,8300,42300,469,27,Telecom,998,163,Noida
Wells Fargo,3.7,8300,55800,679,94,Financial Services,855,27,Bangalore
Samsung,3.9,8200,26400,618,17,Consumer Electronics & Appliances,520,582,Noida
Dr. Reddy's,4.0,8100,26200,499,16,Pharma,740,215,Hyderabad
Optum Global Solutions,4.0,7700,48700,754,144,IT Services & Consulting,686,68,Hyderabad
Delhivery,3.8,7600,21000,602,196,Logistics,656,754,Gurgaon
ICICI Prudential Life Insurance,4.0,7600,22800,474,804,Insurance,625,505,Mumbai
JPMorgan Chase & Co.,3.8,7600,86400,859,870,Financial Services,845,55,Bangalore
JSW Steel,3.9,7600,30500,794,115,Iron & Steel,602,193,Ballari
HGS,3.7,7500,20900,273,27,BPO,968,121,Bangalore
Jana Small Finance Bank,3.8,7500,14300,305,35,Banking,623,417,Bangalore
Hexaware Technologies,3.4,7400,53500,816,726,IT Services & Consulting,547,69,Chennai
Sun Pharmaceutical Industries,4.1,7400,23300,656,300,Pharma,594,263,Vadodara
Ujjivan Small Finance Bank,4.0,7400,13100,313,208,Banking,579,533,Bangalore
Amazon Development Centre India,3.8,7400,38600,879,8,Internet,20,146,Hyderabad
Lupin,4.1,7200,22600,438,42,Pharma,764,203,Pune
L&T Construction,4.0,7200,19400,943,0,Engineering & Construction,929,432,Chennai
Ekart Logistics,3.9,7200,15900,406,0,Logistics,422,741,Bangalore
Zydus Lifesciences,3.9,7200,20100,420,27,Pharma,605,177,Ahmedabad
Hindustan Unilever,4.2,7100,20000,463,40,FMCG,704,536,Mumbai
KPMG India,3.4,7000,65200,917,87,Management Consulting,749,112,Bangalore
ITC,3.9,7000,24500,686,71,FMCG,638,377,Bangalore
Axis Max Life Insurance,4.0,7000,20100,400,160,Insurance,495,498,New Delhi
Megha Engineering & Infrastructures,3.9,6800,18700,563,36,Engineering & Construction,539,406,Hyderabad
Tata Projects,4.2,6700,22200,587,20,Engineering & Construction,540,286,Mumbai
Coforge,3.3,6500,49000,703,132,IT Services & Consulting,273,103,Noida
Bajaj Life Insurance,3.9,6400,17200,442,67,Insurance,474,610,Pune
FIS,3.8,6400,38700,532,126,FinTech,721,60,Pune
L&T Technology Services,3.1,6400,42900,626,0,IT Services & Consulting,444,93,Bangalore
Cholamandalam Investment & Finance,3.8,6400,12600,281,16,Financial Services,293,844,Chennai
Oracle,3.5,6200,62900,945,812,Software Product,617,56,Bangalore
IIFL Finance,4.0,6200,14100,323,70,NBFC,399,801,Mumbai
Muthoot Finance,3.7,6200,13000,346,81,NBFC,325,784,Bangalore
Indian Army,4.7,6200,9600,202,0,Defence & Aerospace,728,363,New Delhi
Omega Healthcare,3.8,6200,26500,543,133,BPO,391,69,Chennai
JLL,4.1,6200,24300,480,352,Real Estate,539,84,Gurgaon
eClerx,3.1,6100,32000,629,183,IT Services & Consulting,555,32,Pune
HCL Group,3.5,6100,39800,514,0,IT Services & Consulting,661,97,Chennai
Piramal Finance,4.2,6000,12800,292,6,NBFC,445,423,Mumbai
Virtusa Consulting Services,3.7,5900,56700,667,987,IT Services & Consulting,318,55,Hyderabad
DMart,3.9,5900,18600,544,214,Retail,470,247,Mumbai
Indiamart Intermesh,3.5,5800,20300,747,526,Internet,432,173,Noida
HSBC Group,3.9,5800,43100,546,129,Financial Services,1100,63,Bangalore
SMFG India Credit,3.9,5800,10900,206,87,NBFC,348,596,Mumbai
Aurobindo Pharma,4.0,5700,20700,287,24,Pharma,468,116,Hyderabad
Udaan,3.9,5700,15700,373,8,Internet,755,367,Bangalore
Access Healthcare,3.7,5700,28600,393,549,BPO,347,64,Chennai
Siemens,3.9,5700,33800,504,865,Industrial Automation,633,153,Bangalore
BigBasket,3.9,5700,19200,478,90,Internet,381,140,Bangalore
PolicyBazaar,3.7,5700,17300,622,440,Internet,231,149,Gurgaon
Manappuram Finance,3.9,5600,9400,220,4,NBFC,260,652,Bangalore
ICICI Lombard General Insurance Company,3.5,5600,20100,354,214,Insurance,366,313,Mumbai
Tata Capital,4.0,5600,15800,265,3800,NBFC,257,440,Mumbai
Firstsource Solutions,3.5,5600,24200,359,138,BPO,570,74,Bangalore
GlobalLogic,3.5,5600,40500,677,43,IT Services & Consulting,515,60,Hyderabad
Shapoorji Pallonji Group,4.1,5600,15300,419,85,Engineering & Construction,632,190,Mumbai
Standard Chartered,3.6,5600,41800,321,0,Banking,305,67,Chennai
Mahindra Finance,3.8,5500,12000,216,389,NBFC,507,731,Mumbai
Apollo Hospitals,4.1,5500,16500,477,135,Healthcare,507,228,Chennai
Bosch Global Software Technologies,3.7,5500,40200,387,29,IT Services & Consulting,625,47,Bangalore
UST,3.7,5500,39500,585,194,IT Services & Consulting,408,51,Bangalore
Ashok Leyland,4.0,5500,18700,316,0,Automobile,642,260,Chennai
Swiggy,3.7,5400,23000,563,293,Internet,343,229,Bangalore
Citicorp,3.7,5400,52200,622,0,Financial Services,517,68,Pune
Hero MotoCorp,4.1,5300,15900,406,3,Automobile,584,365,Gurgaon
CGI Group,4.0,5300,45600,556,587,IT Services & Consulting,354,43,Bangalore
Cyient,3.6,5200,27600,331,98,IT Services & Consulting,466,48,Hyderabad
SBI Cards & Payment Services,3.6,5200,16500,302,72,Financial Services,344,438,Gurgaon
Kalpataru Projects International,4.2,5100,13800,326,3,Engineering & Construction,203,320,Mumbai
BNY,3.6,5100,30900,395,2,Financial Services,528,25,Pune
JustDial,3.5,5100,15500,392,49,Internet,372,229,Noida
IQVIA,3.7,5100,30800,545,25,Clinical Research,524,65,Bangalore
NTT DATA,3.8,5000,36100,741,227,IT Services & Consulting,156,80,Bangalore
Nagarjuna Construction Company,4.0,5000,12200,435,14,Engineering & Construction,408,296,Hyderabad
SBI Life Insurance Company,3.7,5000,11600,307,16,Insurance,327,655,Mumbai
CBRE,4.1,5000,18800,343,24,Real Estate,443,91,Hyderabad
TVS Motor,3.9,5000,15900,395,71,Automobile,537,351,Hosur
Schneider Electric,4.2,5000,24500,450,26,Industrial Automation,436,119,Bangalore
Persistent Systems,3.6,4900,44900,704,301,IT Services & Consulting,369,41,Pune
State Bank of India,3.8,4900,11500,308,15,Banking,400,618,Mumbai
vivo,4.1,4900,12900,235,11,Consumer Electronics & Appliances,643,414,Noida
Atos,3.8,4900,34200,405,80,IT Services & Consulting,456,49,Pune
Ecom Express,4.0,4800,9700,263,0,Logistics,323,776,Gurgaon
KEC International,4.0,4800,13300,417,10,Engineering & Construction,441,312,Mumbai
Eviden,3.6,4800,27800,316,8,IT Services & Consulting,1,39,Pune
Amdocs,3.6,4800,37200,559,11,Software Product,614,24,Pune
JBM Group,3.9,4700,14000,345,48,Auto Components,342,117,Gurgaon
Varun Beverages,4.0,4700,12200,345,33,Beverage,321,379,New Delhi
Nagarro,3.9,4700,32600,829,948,IT Services & Consulting,1100,49,Gurgaon
ITC Infotech,3.7,4700,29500,411,90,IT Services & Consulting,281,68,Bangalore
Bosch,4.1,4600,20800,377,0,Auto Components,599,132,Bangalore
Randstad,3.7,4600,16500,327,8,Recruitment,342,352,Hyderabad
Home Credit Finance,4.0,4500,9400,147,105,NBFC,629,136,Gurgaon
EY Global Delivery Services ( EY GDS),3.5,4600,49200,878,10,IT Services & Consulting,146,56,Bangalore
Hewlett Packard Enterprise,4.1,4500,27200,267,251,IT Services & Consulting,546,104,Bangalore
Utkarsh Small Finance Bank,3.6,4500,10900,300,48,Banking,270,407,Varanasi
Mahindra Logistics,3.7,4500,13000,251,0,Logistics,445,234,Mumbai
Aditya Birla Fashion and Retail,4.1,4500,13100,266,77,Fashion & Textile,391,291,Bangalore
L&T Finance,3.9,4500,11900,216,0,NBFC,261,633,Mumbai
Dell,3.8,4500,28800,424,15,Consumer Electronics & Appliances,540,117,Bangalore
CARS24,3.4,4500,15500,406,102,Internet,410,171,Gurgaon
Havells,3.9,4500,14800,289,31,Electrical Equipment,315,261,Noida
OPPO,3.9,4400,12000,250,7,Consumer Electronics & Appliances,602,410,Greater Noida
R1 RCM,3.8,4400,21400,356,191,BPO,334,46,New Delhi
Intas Pharmaceuticals,4.1,4400,17300,259,58,Pharma,362,148,Ahmedabad
Tata AIA Life Insurance,3.9,4400,14200,249,547,Insurance,297,441,Mumbai
Hyundai Motor India Limited,4.1,4400,13900,322,3,Automobile,518,286,Chennai
Deutsche Bank,3.8,4300,36300,420,414,Banking,399,42,Pune
Hetero,3.9,4300,15100,303,156,Pharma,332,68,Hyderabad
Motilal Oswal Financial Services,3.7,4300,13000,541,47,Financial Services,167,168,Mumbai
Berger Paints,3.7,4300,10000,425,124,Chemicals,273,354,Kolkata
Team Lease,3.9,4300,16100,248,2,Recruitment,215,400,Bangalore
VE Commercial Vehicles,3.9,4200,14000,283,5,Automobile,340,179,Indore
Lenskart,3.3,4200,13000,444,132,Internet,199,239,New Delhi
Thermax Limited,4.2,4200,13100,337,83,Industrial Machinery,371,252,Pune
Bajaj Auto,3.8,4100,14500,323,0,Automobile,496,319,Pune
Macleods Pharmaceuticals,3.7,4100,15600,268,6,Pharma,334,134,Mumbai
Kogta Financial India Limited,4.7,4100,1800,246,116,NBFC,31,259,Jaipur
Aakash Educational Services,3.2,4100,13900,367,62,Education & Training,212,244,New Delhi
Jubilant Foods Works,3.7,4100,9300,250,200,Hospitality,180,261,New Delhi
LG Electronics,3.9,4100,11000,260,0,Consumer Electronics & Appliances,399,298,Pune
Hindalco Industries,4.2,4000,12600,302,11,Metals & Mining,327,128,Sambalpur
Royal Enfield,4.2,4000,14900,202,15,Automobile,396,373,Chennai
Jindal Steel Limited,3.9,4000,15600,415,33,Iron & Steel,328,175,Angul
Tata Communications,3.9,4000,23600,300,281,Telecom,426,102,Pune
DCB Bank,3.8,4000,9300,227,13,Banking,248,342,Mumbai
John Deere,4.0,4000,15300,267,2,Industrial Machinery,417,155,Pune
State Street Corporation,3.5,4000,31500,287,6,Financial Services,261,35,Bangalore
HDFC Ergo General Insurance,4.0,4000,12100,197,12,Insurance,273,327,Mumbai
RBL Bank,3.5,3900,18300,239,52,Banking,221,286,Mumbai
Cummins,4.3,3900,15600,283,4,Industrial Machinery,458,115,Pune
Oyo Rooms,3.1,3900,14400,254,132,Internet,389,122,Gurgaon
Alembic Pharmaceuticals,3.9,3800,15400,253,69,Pharma,378,186,Vadodara
Pidilite Industries,4.2,3800,11500,257,3,Chemicals,359,315,Mumbai
Bank of America,4.1,3800,28300,288,0,Banking,413,35,Gurgaon
Reliance Communications,4.0,3800,9600,106,0,Telecom,375,468,Mumbai
Publicis Sapient,3.4,3800,30900,690,272,IT Services & Consulting,391,46,Bangalore
Carelon Global Solutions,3.9,3800,26600,410,29,IT Services & Consulting,7,21,Bangalore
Subros,3.8,3800,12600,217,1,Auto Components,379,89,Noida
American Express,4.1,3800,24800,423,126,Financial Services,435,53,Gurgaon
Viatris,4.1,3800,14200,164,3,Pharma,500,80,Hyderabad
XpressBees,4.2,3800,8300,442,12,Logistics,176,476,Pune
PVR INOX,3.9,3800,9400,214,25,Media & Entertainment,242,149,New Delhi
Aditya Birla Sun Life Insurance,4.0,3700,10200,178,0,Insurance,214,487,Mumbai
Automatic Data Processing (ADP),3.9,3700,21900,290,35,Software Product,457,40,Hyderabad
PNB MetLife,3.4,3700,8100,192,13,Insurance,217,426,New Delhi
Grasim Industries,4.0,3700,12600,272,2,Building Material,267,243,Bharuch
Kyndryl,3.9,3700,26100,224,59,IT Services & Consulting,163,37,Bangalore
Aditya Birla Capital,3.8,3700,14200,255,3,NBFC,211,340,Mumbai
Escorts Kubota Limited,4.1,3700,13300,296,4,Automobile,255,155,Faridabad
Altruist Technologies,4.4,3700,8300,689,10,BPO,83,44,Bangalore
Maersk,4.0,3700,19000,247,47,Logistics,421,49,Chennai
Synechron,3.4,3600,28100,405,89,IT Services & Consulting,238,32,Pune
Birlasoft,3.5,3600,29700,315,455,IT Services & Consulting,235,50,Pune
KPIT Technologies,3.0,3600,23100,343,37,Software Product,289,44,Pune
Glenmark Pharmaceuticals,3.8,3600,12100,178,136,Pharma,317,185,Mumbai
Sodexo,4.0,3600,9700,201,1100,Facility Management Services,364,157,Mumbai
Kotak Mahindara Life Insurance,3.5,3600,12800,259,163,Insurance,256,256,Mumbai
JK Cement,4.0,3600,9900,332,1,Building Material,257,329,New Delhi
Dabur,3.8,3600,8800,329,13,FMCG,276,320,New Delhi
Bharat Electronics,4.2,3600,12500,245,0,Electronics Manufacturing,312,87,Bangalore
Godrej & Boyce Manufacturing,3.9,3600,15100,225,81,Consumer Electronics & Appliances,412,164,Mumbai
Samvardhana Motherson Group,3.7,3600,12100,257,14,Auto Components,403,94,Noida
Cogent E Services,3.2,3600,10400,293,2,BPO,220,55,Noida
Abbott,4.1,3600,11900,181,233,Pharma,361,214,Mumbai
Ipca Laboratories,3.8,3500,11500,204,47,Pharma,245,160,Mumbai
Aarti Industries,4.1,3500,14400,328,16,Agro Chemicals,351,58,Bharuch
Reliance Projects & Property Management Services,4.0,3500,7100,210,0,Other,20,619,Kolkata
Indian Oil Corporation,4.3,3500,7700,234,0,Oil & Gas,291,310,New Delhi
Cloudnine Hospital,4.4,3500,2900,1100,4,Healthcare,78,46,Bangalore
Reliance Digital,4.1,3500,8000,168,2,Retail,241,378,Mumbai
MRF Tyres,3.6,3500,12600,370,20,Auto Components,345,193,Chennai
PhonePe,4.1,3500,12900,413,62,FinTech,183,394,Bangalore
Alkem Laboratories,3.9,3500,9800,195,10,Pharma,328,197,Mumbai
Johnson Controls,3.5,3500,17400,301,5,Industrial Automation,266,57,Pune
"NTT DATA, Inc.",3.9,3500,21200,152,90,IT Services & Consulting,624,36,Bangalore
IGT Solutions,3.2,3500,13600,253,90,BPO,213,47,New Delhi
Honda Motorcycle & Scooter,4.1,3400,11100,202,0,Automobile,348,298,Gurgaon
UNO Minda,3.9,3400,11200,254,19,Auto Components,279,109,Pune
ArcelorMittal Nippon Steel,4.1,3400,11800,270,7,Iron & Steel,111,86,Surat
Vishal Mega Mart,3.8,3400,6300,206,4,Retail,273,377,New Delhi
[24]7.ai,3.4,3400,11500,183,68,Software Product,406,36,Bangalore
Hindustan Coca Cola Beverages,4.0,3400,7600,177,48,Beverage,377,261,Bangalore
UBS,3.8,3400,31400,370,2,Financial Services,117,19,Pune
DTDC Express,3.7,3300,8600,194,21,Logistics,263,271,New Delhi
Reliance Nippon Life Insurance,3.4,3300,8400,168,3,Insurance,229,484,Mumbai
Blinkit,3.8,3300,12500,329,0,Internet,202,145,Gurgaon
Ford Motor,4.2,3300,15200,174,1,Automobile,397,131,Chennai
Bajaj General Insurance Limited,3.7,3300,11000,138,71,Insurance,236,303,Pune
Ceat Tyres,3.9,3300,12900,210,5,Auto Components,346,141,Nagpur
ABB,4.1,3300,17800,286,0,Industrial Machinery,346,107,Bangalore
HARMAN,3.8,3300,24100,291,129,Consumer Electronics & Appliances,100,42,Bangalore
RSPL Group,4.1,3300,9600,256,31,FMCG,293,255,Kanpur
Barclays,3.7,3300,31500,313,0,Banking,253,36,Pune
AGS Health,4.0,3300,14200,210,27,Analytics & KPO,272,63,Chennai
NatWest Group,4.0,3300,20900,234,30,Banking,362,28,Gurgaon
TVS Credit Services Ltd,4.2,3200,7500,156,30,NBFC,194,426,Chennai
Niva Bupa Health Insurance Company,4.1,3200,8200,376,101,Insurance,119,319,New Delhi
InterGlobe Aviation,3.5,3200,13500,368,83,Aviation,315,104,New Delhi
Indian Air Force,4.5,3200,5300,81,0,Defence & Aerospace,354,134,New Delhi
Croma,3.8,3200,9100,184,30,Retail,186,192,Mumbai
Alstom Transportation,3.7,3200,14900,276,398,Engineering & Construction,174,80,Bangalore
Conduent,3.4,3200,16800,231,393,BPO,366,35,Bangalore
Tata Technologies,3.4,3200,22700,306,106,Engineering & Construction,308,55,Pune
Tata AIG,4.0,3200,11500,191,93,Insurance,245,260,Mumbai
GeBBS Healthcare Solutions,3.7,3200,11300,180,78,BPO,291,24,Mumbai
Allcargo Logistics,3.8,3200,6900,138,21,Logistics,335,175,Mumbai
Marpu Foundation,4.9,3100,60,265,0,Non-Profit,8,61,Hyderabad
UPL,4.1,3100,11200,217,45,Agro Chemicals,293,186,Ankleshwar
Max Healthcare,3.9,3100,10400,186,107,Healthcare,276,79,New Delhi
PepsiCo,4.0,3100,13400,235,305,Food Processing,244,276,Hyderabad
Titan Company,4.2,3100,9500,201,80,Retail,332,184,Bangalore
Amazon Transportation Services,4.2,3100,8300,254,1,Logistics,246,227,Hyderabad
Dilip Buildcon,3.9,3100,8000,186,19,Engineering & Construction,298,227,Bhopal
Walmart,3.5,3100,22300,437,207,Retail,320,92,Bangalore
Mankind Pharma,3.8,3100,9300,253,11,Pharma,246,246,New Delhi
Varroc Group,3.6,3100,9500,219,56,Auto Components,230,62,Pune
Jindal Stainless,4.2,3000,11300,311,7,Iron & Steel,186,78,Jajpur
Future Group,4.2,3000,6800,84,0,Retail,423,207,Mumbai
S&P Global,4.0,3000,20300,326,242,Analytics & KPO,212,47,Hyderabad
MSN Laboratories,3.6,3000,9400,171,36,Pharma,155,105,Hyderabad
Afcons Infrastructure,4.2,3000,8600,266,33,Engineering & Construction,309,121,Mumbai
Societe Generale Global Solution Centre,3.6,3000,22900,294,126,IT Services & Consulting,293,24,Bangalore
Torrent Pharmaceuticals,4.0,3000,10200,167,25,Pharma,310,130,Ahmedabad
Quest Global,3.5,3000,21200,359,150,IT Services & Consulting,190,49,Bangalore
Square Yards,3.6,3000,9200,226,61,Internet,232,51,Gurgaon
IDFC FIRST Bharat,4.2,3000,4900,151,1,Financial Services,71,424,Chennai
ACC,3.9,2900,9300,233,2,Building Material,271,274,Mumbai
CMS IT Services,3.1,2900,9400,157,34,IT Services & Consulting,193,152,Mumbai
HDFC Sales,3.9,2900,8300,189,11,Financial Services,190,346,Mumbai
I Process Services,3.8,2900,5500,132,1,Recruitment,127,404,Mumbai
Zensar Technologies,3.7,2900,25600,277,306,IT Services & Consulting,243,28,Pune
ESAF Small Finance Bank,3.6,2900,7700,167,37,Banking,104,440,Thrissur
DS Group,4.1,2900,7800,214,46,FMCG,207,279,Noida
