Company_names,Ratings,Reviews_count,Salary_count,Interview_count,Jobs_count,Company_sector,Locations,Benefits_count,Page_num
TCS,3.3,1.1L,9.8L,11.8k,2.2k,IT Services & Consulting,Bangalore / Bengaluru +438 other locations,10.6k,1
Accenture,3.7,71.4k,6.5L,9.2k,40.8k,IT Services & Consulting,Bangalore / Bengaluru +255 other locations,6.7k,1
Wipro,3.6,63.5k,4.8L,6.7k,5.8k,IT Services & Consulting,Hyderabad / Secunderabad +370 other locations,4.6k,1
Cognizant,3.6,59.9k,6L,6.3k,749,IT Services & Consulting,Hyderabad / Secunderabad +230 other locations,5.5k,1
Capgemini,3.7,51.5k,4.8L,5.4k,1.9k,IT Services & Consulting,Bangalore / Bengaluru +183 other locations,3.7k,1
HDFC Bank,3.8,50.7k,1.5L,2.9k,309,Banking,Mumbai +1827 other locations,3.2k,1
Infosys,3.5,47.3k,5.2L,8.3k,2.4k,IT Services & Consulting,Bangalore / Bengaluru +247 other locations,4.8k,1
ICICI Bank,4.0,45.1k,1.5L,2.9k,22,Banking,Mumbai +1438 other locations,3.7k,1
HCLTech,3.4,44.5k,3.8L,4.5k,251,IT Services & Consulting,Chennai +229 other locations,3.8k,1
Tech Mahindra,3.4,42.4k,2.8L,4.5k,531,IT Services & Consulting,Hyderabad / Secunderabad +332 other locations,3.4k,1
Genpact,3.6,40.9k,2.3L,3.8k,1.5k,IT Services & Consulting,Hyderabad / Secunderabad +181 other locations,3.5k,1
Teleperformance,3.8,36.7k,96.3k,2.2k,1.3k,BPO,Mumbai +255 other locations,1.8k,1
Jio,4.4,32.5k,62.1k,4k,3,Telecom,Mumbai +1918 other locations,2.5k,1
Axis Bank,3.6,32.4k,1L,1.9k,202,Banking,Mumbai +1505 other locations,2.1k,1
Concentrix Corporation,3.6,31.4k,1.3L,2k,79,BPO,Bangalore / Bengaluru +176 other locations,3.1k,1
Amazon,3.9,30.7k,1.5L,5.8k,1.8k,Internet,Bangalore / Bengaluru +520 other locations,4.1k,1
iEnergizer,4.6,27.1k,24.1k,1.1k,59,BPO,Noida +51 other locations,430,1
Reliance Retail,3.9,27k,76.7k,1.9k,147,Retail,Mumbai +1156 other locations,1.8k,1
LTIMindtree,3.6,25.8k,1.9L,3.4k,527,IT Services & Consulting,Bangalore / Bengaluru +145 other locations,777,1
IBM,3.9,25.3k,2.1L,2.6k,1.2k,IT Services & Consulting,Bangalore / Bengaluru +160 other locations,2.6k,1
HDB Financial Services,3.9,25.1k,49.8k,1.1k,213,NBFC,Mumbai +1090 other locations,1.5k,2
Larsen & Toubro Limited,3.9,23.3k,74.7k,1.8k,199,Engineering & Construction,Chennai +759 other locations,2.5k,2
Deloitte,3.7,22.4k,2.5L,3.3k,1.6k,Management Consulting,Hyderabad / Secunderabad +187 other locations,2.4k,2
Kotak Mahindra Bank,3.6,21.9k,87.4k,1.4k,117,Banking,Mumbai +684 other locations,1.3k,2
Reliance Industries,4.0,19.8k,73.1k,1.6k,61,Oil & Gas,Jamnagar +814 other locations,1.8k,2
Vodafone Idea,3.9,17.4k,50.1k,673,55,Telecom,Pune +702 other locations,2k,2
Bharti Airtel,3.8,16.8k,48.8k,1.1k,147,Telecom,Gurgaon / Gurugram +790 other locations,1.6k,2
BYJU'S,3.2,16.4k,54.6k,2.1k,--,EdTech,Bangalore / Bengaluru +322 other locations,1.7k,2
WNS,3.3,14.8k,69k,1.2k,113,IT Services & Consulting,Pune +65 other locations,1.3k,2
IDFC FIRST Bank,3.9,14k,49.2k,917,30,Banking,Mumbai +715 other locations,692,2
Tata Motors,4.1,14k,42.8k,1.2k,183,Automobile,Pune +506 other locations,1.6k,2
Ernst & Young,3.4,14k,1.4L,1.3k,2.2k,Management Consulting,Bangalore / Bengaluru +132 other locations,1.2k,2
IndusInd Bank,3.4,13.9k,52.1k,756,122,Banking,Mumbai +791 other locations,793,2
AU Small Finance Bank,3.9,13.8k,28.8k,674,60,Banking,Jaipur +785 other locations,577,2
Bajaj Finserv,3.9,12.7k,30.4k,714,10,NBFC,Pune +1168 other locations,706,2
Flipkart,3.9,12.6k,54.6k,1.6k,173,Internet,Bangalore / Bengaluru +558 other locations,1.4k,2
Muthoot FinCorp,4.5,12.3k,9k,2.2k,53,NBFC,Bangalore / Bengaluru +1098 other locations,275,2
PwC,3.3,12.1k,1.2L,1.5k,984,Management Consulting,Bangalore / Bengaluru +132 other locations,800,2
Mahindra & Mahindra,4.0,11.8k,39.7k,844,1,Automobile,Pune +562 other locations,1.2k,2
Infosys BPM,3.5,11.7k,73.2k,1.1k,73,BPO,Bangalore / Bengaluru +96 other locations,1.1k,2
DXC Technology,3.6,11.7k,72.9k,888,190,IT Services & Consulting,Bangalore / Bengaluru +132 other locations,1.1k,3
HDFC Life,3.9,11.7k,32.9k,776,131,Insurance,Mumbai +701 other locations,614,3
Bandhan Bank,3.7,10.7k,24.7k,733,19,Banking,Kolkata +996 other locations,517,3
Mphasis,3.3,10k,73.4k,917,63,IT Services & Consulting,Bangalore / Bengaluru +63 other locations,846,3
Conneqt Business Solutions,3.5,10k,26.3k,548,344,BPO,Hyderabad / Secunderabad +266 other locations,772,3
Yes Bank,3.6,9.9k,43.3k,545,139,Banking,Mumbai +540 other locations,608,3
Tata Steel,4.0,9.7k,34k,1.1k,--,Iron & Steel,Jamshedpur +229 other locations,659,3
Quess,3.8,9.5k,30.9k,531,27,Recruitment,Bangalore / Bengaluru +742 other locations,440,3
Maruti Suzuki,4.2,9.4k,28.3k,770,724,Automobile,Gurgaon / Gurugram +450 other locations,1.1k,3
Asian Paints,4.0,9.3k,25.4k,838,59,Chemicals,Mumbai +550 other locations,884,3
Startek,3.1,9.3k,24.5k,623,152,BPO,Bangalore / Bengaluru +105 other locations,681,3
UltraTech Cement,4.1,9.2k,23.8k,784,29,Building Material,Mumbai +536 other locations,619,3
Paytm,3.2,9.2k,34k,882,341,FinTech,Noida +417 other locations,582,3
Shriram Finance,4.0,8.9k,15k,440,5,NBFC,Chennai +1108 other locations,21,3
Bajaj Finance,3.9,8.9k,22.4k,427,7.1k,NBFC,Pune +972 other locations,502,3
Sutherland Global Services,3.4,8.8k,34.5k,777,244,BPO,Chennai +82 other locations,901,3
Equitas Small Finance Bank,4.4,8.7k,13.4k,1k,23,Banking,Chennai +480 other locations,397,3
EXL Service,3.6,8.4k,44.2k,893,1.5k,Analytics & KPO,Noida +61 other locations,799,3
Cipla,4.1,8.4k,26.2k,583,60,Pharma,Mumbai +292 other locations,850,3
Ericsson,3.9,8.3k,42.3k,469,27,Telecom,Noida +163 other locations,998,3
Wells Fargo,3.7,8.3k,55.8k,679,94,Financial Services,Bangalore / Bengaluru +27 other locations,855,4
Samsung,3.9,8.2k,26.4k,618,17,Consumer Electronics & Appliances,Noida +582 other locations,520,4
Dr. Reddy's,4.0,8.1k,26.2k,499,16,Pharma,Hyderabad / Secunderabad +215 other locations,740,4
Optum Global Solutions,4.0,7.7k,48.7k,754,144,IT Services & Consulting,Hyderabad / Secunderabad +68 other locations,686,4
Delhivery,3.8,7.6k,21k,602,196,Logistics,Gurgaon / Gurugram +754 other locations,656,4
ICICI Prudential Life Insurance,4.0,7.6k,22.8k,474,804,Insurance,Mumbai +505 other locations,625,4
JPMorgan Chase & Co.,3.8,7.6k,86.4k,859,870,Financial Services,Bangalore / Bengaluru +55 other locations,845,4
JSW Steel,3.9,7.6k,30.5k,794,115,Iron & Steel,Ballari +193 other locations,602,4
HGS,3.7,7.5k,20.9k,273,27,BPO,Bangalore / Bengaluru +121 other locations,968,4
Jana Small Finance Bank,3.8,7.5k,14.3k,305,35,Banking,Bangalore / Bengaluru +417 other locations,623,4
Hexaware Technologies,3.4,7.4k,53.5k,816,726,IT Services & Consulting,Chennai +69 other locations,547,4
Sun Pharmaceutical Industries,4.1,7.4k,23.3k,656,300,Pharma,Vadodara +263 other locations,594,4
Ujjivan Small Finance Bank,4.0,7.4k,13.1k,313,208,Banking,Bangalore / Bengaluru +533 other locations,579,4
Amazon Development Centre India,3.8,7.4k,38.6k,879,8,Internet,Hyderabad / Secunderabad +146 other locations,20,4
Lupin,4.1,7.2k,22.6k,438,42,Pharma,Pune +203 other locations,764,4
L&T Construction,4.0,7.2k,19.4k,943,--,Engineering & Construction,Chennai +432 other locations,929,4
Ekart Logistics,3.9,7.2k,15.9k,406,--,Logistics,Bangalore / Bengaluru +741 other locations,422,4
Zydus Lifesciences,3.9,7.2k,20.1k,420,27,Pharma,Ahmedabad +177 other locations,605,4
Hindustan Unilever,4.2,7.1k,20k,463,40,FMCG,Mumbai +536 other locations,704,4
KPMG India,3.4,7k,65.2k,917,87,Management Consulting,Bangalore / Bengaluru +112 other locations,749,4
ITC,3.9,7k,24.5k,686,71,FMCG,Bangalore / Bengaluru +377 other locations,638,5
Axis Max Life Insurance,4.0,7k,20.1k,400,160,Insurance,New Delhi +498 other locations,495,5
Megha Engineering & Infrastructures,3.9,6.8k,18.7k,563,36,Engineering & Construction,Hyderabad / Secunderabad +406 other locations,539,5
Tata Projects,4.2,6.7k,22.2k,587,20,Engineering & Construction,Mumbai +286 other locations,540,5
Coforge,3.3,6.5k,49k,703,132,IT Services & Consulting,Noida +103 other locations,273,5
Bajaj Life Insurance,3.9,6.4k,17.2k,442,67,Insurance,Pune +610 other locations,474,5
FIS,3.8,6.4k,38.7k,532,126,FinTech,Pune +60 other locations,721,5
L&T Technology Services,3.1,6.4k,42.9k,626,--,IT Services & Consulting,Bangalore / Bengaluru +93 other locations,444,5
Cholamandalam Investment & Finance,3.8,6.4k,12.6k,281,16,Financial Services,Chennai +844 other locations,293,5
Oracle,3.5,6.2k,62.9k,945,812,Software Product,Bangalore / Bengaluru +56 other locations,617,5
IIFL Finance,4.0,6.2k,14.1k,323,70,NBFC,Mumbai +801 other locations,399,5
Muthoot Finance,3.7,6.2k,13k,346,81,NBFC,Bangalore / Bengaluru +784 other locations,325,5
Indian Army,4.7,6.2k,9.6k,202,--,Defence & Aerospace,New Delhi +363 other locations,728,5
Omega Healthcare,3.8,6.2k,26.5k,543,133,BPO,Chennai +69 other locations,391,5
JLL,4.1,6.2k,24.3k,480,352,Real Estate,Gurgaon / Gurugram +84 other locations,539,5
eClerx,3.1,6.1k,32k,629,183,IT Services & Consulting,Pune +32 other locations,555,5
HCL Group,3.5,6.1k,39.8k,514,--,IT Services & Consulting,Chennai +97 other locations,661,5
Piramal Finance,4.2,6k,12.8k,292,6,NBFC,Mumbai +423 other locations,445,5
Virtusa Consulting Services,3.7,5.9k,56.7k,667,987,IT Services & Consulting,Hyderabad / Secunderabad +55 other locations,318,5
DMart,3.9,5.9k,18.6k,544,214,Retail,Mumbai +247 other locations,470,5
Indiamart Intermesh,3.5,5.8k,20.3k,747,526,Internet,Noida +173 other locations,432,6
HSBC Group,3.9,5.8k,43.1k,546,129,Financial Services,Bangalore / Bengaluru +63 other locations,1.1k,6
SMFG India Credit,3.9,5.8k,10.9k,206,87,NBFC,Mumbai +596 other locations,348,6
Aurobindo Pharma,4.0,5.7k,20.7k,287,24,Pharma,Hyderabad / Secunderabad +116 other locations,468,6
Udaan,3.9,5.7k,15.7k,373,8,Internet,Bangalore / Bengaluru +367 other locations,755,6
Access Healthcare,3.7,5.7k,28.6k,393,549,BPO,Chennai +64 other locations,347,6
Siemens,3.9,5.7k,33.8k,504,865,Industrial Automation,Bangalore / Bengaluru +153 other locations,633,6
BigBasket,3.9,5.7k,19.2k,478,90,Internet,Bangalore / Bengaluru +140 other locations,381,6
PolicyBazaar,3.7,5.7k,17.3k,622,440,Internet,Gurgaon / Gurugram +149 other locations,231,6
Manappuram Finance,3.9,5.6k,9.4k,220,4,NBFC,Bangalore / Bengaluru +652 other locations,260,6
ICICI Lombard General Insurance Company,3.5,5.6k,20.1k,354,214,Insurance,Mumbai +313 other locations,366,6
Tata Capital,4.0,5.6k,15.8k,265,3.8k,NBFC,Mumbai +440 other locations,257,6
Firstsource Solutions,3.5,5.6k,24.2k,359,138,BPO,Bangalore / Bengaluru +74 other locations,570,6
GlobalLogic,3.5,5.6k,40.5k,677,43,IT Services & Consulting,Hyderabad / Secunderabad +60 other locations,515,6
Shapoorji Pallonji Group,4.1,5.6k,15.3k,419,85,Engineering & Construction,Mumbai +190 other locations,632,6
Standard Chartered,3.6,5.6k,41.8k,321,--,Banking,Chennai +67 other locations,305,6
